fecha,porcentaje,fuente
2021-01-04,78.0,"CONAGUA boletines Sistema Cutzamala 2021; nivel saludable inicio de década"
2021-07-05,72.0,"CONAGUA seguimiento semanal 2021"
2022-01-03,70.0,"CONAGUA boletín enero 2022"
2022-07-04,61.0,"CONAGUA seguimiento; inicio de descenso sostenido"
2023-01-02,54.0,"CONAGUA boletín enero 2023; prensa nacional"
2023-07-03,45.0,"CONAGUA seguimiento mitad 2023"
2023-11-06,40.0,"CONAGUA noviembre 2023; alerta por descenso"
2024-01-01,39.0,"CONAGUA enero 2024; cobertura nacional crisis hídrica"
2024-04-15,32.0,"CONAGUA abril 2024; discusión pública 'Día Cero'"
2024-06-29,26.8,"Mínimo histórico documentado; CONAGUA y prensa nacional (jun 2024)"
2024-09-16,42.0,"Recuperación por temporada de lluvias; CONAGUA sep 2024"
2024-12-02,54.0,"CONAGUA diciembre 2024"
2025-02-03,51.0,"CONAGUA febrero 2025"
2025-05-05,47.0,"CONAGUA mayo 2025; estiaje"
2025-07-07,56.0,"CONAGUA julio 2025; inicio recuperación"
2025-10-13,67.0,"CONAGUA octubre 2025; buena temporada de lluvias"
2026-01-05,63.0,"CONAGUA enero 2026"
2026-05-04,57.0,"CONAGUA mayo 2026; estiaje"
