fecha,porcentaje,anio,semana_iso
2021-01-04,78.0,2021,1
2021-01-11,77.77,2021,2
2021-01-18,77.54,2021,3
2021-01-25,77.31,2021,4
2021-02-01,77.08,2021,5
2021-02-08,76.85,2021,6
2021-02-15,76.62,2021,7
2021-02-22,76.38,2021,8
2021-03-01,76.15,2021,9
2021-03-08,75.92,2021,10
2021-03-15,75.69,2021,11
2021-03-22,75.46,2021,12
2021-03-29,75.23,2021,13
2021-04-05,75.0,2021,14
2021-04-12,74.77,2021,15
2021-04-19,74.54,2021,16
2021-04-26,74.31,2021,17
2021-05-03,74.08,2021,18
2021-05-10,73.85,2021,19
2021-05-17,73.62,2021,20
2021-05-24,73.38,2021,21
2021-05-31,73.15,2021,22
2021-06-07,72.92,2021,23
2021-06-14,72.69,2021,24
2021-06-21,72.46,2021,25
2021-06-28,72.23,2021,26
2021-07-05,72.0,2021,27
2021-07-12,71.92,2021,28
2021-07-19,71.85,2021,29
2021-07-26,71.77,2021,30
2021-08-02,71.69,2021,31
2021-08-09,71.62,2021,32
2021-08-16,71.54,2021,33
2021-08-23,71.46,2021,34
2021-08-30,71.38,2021,35
2021-09-06,71.31,2021,36
2021-09-13,71.23,2021,37
2021-09-20,71.15,2021,38
2021-09-27,71.08,2021,39
2021-10-04,71.0,2021,40
2021-10-11,70.92,2021,41
2021-10-18,70.85,2021,42
2021-10-25,70.77,2021,43
2021-11-01,70.69,2021,44
2021-11-08,70.62,2021,45
2021-11-15,70.54,2021,46
2021-11-22,70.46,2021,47
2021-11-29,70.38,2021,48
2021-12-06,70.31,2021,49
2021-12-13,70.23,2021,50
2021-12-20,70.15,2021,51
2021-12-27,70.08,2021,52
2022-01-03,70.0,2022,1
2022-01-10,69.65,2022,2
2022-01-17,69.31,2022,3
2022-01-24,68.96,2022,4
2022-01-31,68.62,2022,5
2022-02-07,68.27,2022,6
2022-02-14,67.92,2022,7
2022-02-21,67.58,2022,8
2022-02-28,67.23,2022,9
2022-03-07,66.88,2022,10
2022-03-14,66.54,2022,11
2022-03-21,66.19,2022,12
2022-03-28,65.85,2022,13
2022-04-04,65.5,2022,14
2022-04-11,65.15,2022,15
2022-04-18,64.81,2022,16
2022-04-25,64.46,2022,17
2022-05-02,64.12,2022,18
2022-05-09,63.77,2022,19
2022-05-16,63.42,2022,20
2022-05-23,63.08,2022,21
2022-05-30,62.73,2022,22
2022-06-06,62.38,2022,23
2022-06-13,62.04,2022,24
2022-06-20,61.69,2022,25
2022-06-27,61.35,2022,26
2022-07-04,61.0,2022,27
2022-07-11,60.73,2022,28
2022-07-18,60.46,2022,29
2022-07-25,60.19,2022,30
2022-08-01,59.92,2022,31
2022-08-08,59.65,2022,32
2022-08-15,59.38,2022,33
2022-08-22,59.12,2022,34
2022-08-29,58.85,2022,35
2022-09-05,58.58,2022,36
2022-09-12,58.31,2022,37
2022-09-19,58.04,2022,38
2022-09-26,57.77,2022,39
2022-10-03,57.5,2022,40
2022-10-10,57.23,2022,41
2022-10-17,56.96,2022,42
2022-10-24,56.69,2022,43
2022-10-31,56.42,2022,44
2022-11-07,56.15,2022,45
2022-11-14,55.88,2022,46
2022-11-21,55.62,2022,47
2022-11-28,55.35,2022,48
2022-12-05,55.08,2022,49
2022-12-12,54.81,2022,50
2022-12-19,54.54,2022,51
2022-12-26,54.27,2022,52
2023-01-02,54.0,2023,1
2023-01-09,53.65,2023,2
2023-01-16,53.31,2023,3
2023-01-23,52.96,2023,4
2023-01-30,52.62,2023,5
2023-02-06,52.27,2023,6
2023-02-13,51.92,2023,7
2023-02-20,51.58,2023,8
2023-02-27,51.23,2023,9
2023-03-06,50.88,2023,10
2023-03-13,50.54,2023,11
2023-03-20,50.19,2023,12
2023-03-27,49.85,2023,13
2023-04-03,49.5,2023,14
2023-04-10,49.15,2023,15
2023-04-17,48.81,2023,16
2023-04-24,48.46,2023,17
