fecha,municipio,colonia,dia_semana,hora,mes,cutzamala_pct,riesgo_municipio,reportes_7d,tandeo
2023-01-01,Nicolás Romero,Lomas de San Miguel,6,13,1,54.27,0.85,16,1
2023-01-01,Nicolás Romero,Progreso Industrial,6,16,1,54.27,0.85,11,1
2023-01-01,Nicolás Romero,La Colmena,6,8,1,54.27,0.85,5,1
2023-01-01,Nicolás Romero,San José el Vidrio,6,21,1,54.27,0.85,9,1
2023-01-01,Nicolás Romero,Loma del Río,6,16,1,54.27,0.85,6,1
2023-01-01,Ecatepec,Ciudad Azteca,6,14,1,54.27,0.8,7,0
2023-01-01,Ecatepec,San Cristóbal,6,13,1,54.27,0.8,7,0
2023-01-01,Ecatepec,Las Américas,6,15,1,54.27,0.8,5,0
2023-01-01,Chimalhuacán,San Lorenzo,6,17,1,54.27,0.78,5,1
2023-01-01,Chimalhuacán,Xochiaca,6,12,1,54.27,0.78,7,1
2023-01-01,Naucalpan,El Molinito,6,16,1,54.27,0.7,9,0
2023-01-01,Naucalpan,San Mateo,6,6,1,54.27,0.7,2,1
2023-01-01,Tlalnepantla,San Juan Ixhuatepec,6,21,1,54.27,0.66,8,0
2023-01-01,Tlalnepantla,La Loma,6,18,1,54.27,0.66,2,0
2023-01-01,Tecámac,Ojo de Agua,6,11,1,54.27,0.58,3,1
2023-01-01,Cuautitlán Izcalli,La Perla,6,19,1,54.27,0.52,2,0
2023-01-01,Iztapalapa (CDMX),San Lorenzo Tezonco,6,21,1,54.27,0.62,6,0
2023-01-01,Iztapalapa (CDMX),Santa María Aztahuacán,6,10,1,54.27,0.62,1,1
2023-01-01,Tlalpan (CDMX),Padierna,6,9,1,54.27,0.4,1,0
2023-01-01,Coyoacán (CDMX),Los Reyes,6,6,1,54.27,0.3,1,0
2023-01-02,Nicolás Romero,Lomas de San Miguel,0,19,1,54.0,0.85,15,1
2023-01-02,Nicolás Romero,Progreso Industrial,0,21,1,54.0,0.85,6,1
2023-01-02,Nicolás Romero,La Colmena,0,16,1,54.0,0.85,13,1
2023-01-02,Nicolás Romero,San José el Vidrio,0,7,1,54.0,0.85,12,1
2023-01-02,Nicolás Romero,Loma del Río,0,21,1,54.0,0.85,17,1
2023-01-02,Ecatepec,Ciudad Azteca,0,21,1,54.0,0.8,7,1
2023-01-02,Ecatepec,San Cristóbal,0,10,1,54.0,0.8,7,1
2023-01-02,Ecatepec,Las Américas,0,20,1,54.0,0.8,17,1
2023-01-02,Chimalhuacán,San Lorenzo,0,15,1,54.0,0.78,5,1
2023-01-02,Chimalhuacán,Xochiaca,0,18,1,54.0,0.78,8,1
2023-01-02,Naucalpan,El Molinito,0,21,1,54.0,0.7,11,0
2023-01-02,Naucalpan,San Mateo,0,13,1,54.0,0.7,6,0
2023-01-02,Tlalnepantla,San Juan Ixhuatepec,0,19,1,54.0,0.66,10,1
2023-01-02,Tlalnepantla,La Loma,0,18,1,54.0,0.66,5,0
2023-01-02,Tecámac,Ojo de Agua,0,8,1,54.0,0.58,4,1
2023-01-02,Cuautitlán Izcalli,La Perla,0,19,1,54.0,0.52,7,0
2023-01-02,Iztapalapa (CDMX),San Lorenzo Tezonco,0,8,1,54.0,0.62,4,1
2023-01-02,Iztapalapa (CDMX),Santa María Aztahuacán,0,20,1,54.0,0.62,7,1
2023-01-02,Tlalpan (CDMX),Padierna,0,12,1,54.0,0.4,4,0
2023-01-02,Coyoacán (CDMX),Los Reyes,0,9,1,54.0,0.3,6,0
2023-01-03,Nicolás Romero,Lomas de San Miguel,1,17,1,54.0,0.85,11,1
2023-01-03,Nicolás Romero,Progreso Industrial,1,17,1,54.0,0.85,12,1
